transcript	gencode_gene	gencode_gene_id	gnomad_gene	chr	gnomad_transcript_start	gnomad_transcript_end	gnomad_cds_start	gnomad_cds_end	strand
ENST00000247986	KIF17	ENSG00000117245	KIF17	1	20990507	21044510	20991080	21044199	-
ENST00000248058	OR7A10	ENSG00000127515	OR7A10	19	14951760	14952689	14951763	14952689	-
ENST00000248071	KLF2	ENSG00000127528	KLF2	19	16435628	16438685	16435735	16437839	+
ENST00000248072	OR7C2	ENSG00000127529	OR7C2	19	15052301	15053260	15052301	15053257	+
ENST00000248073	OR7C1	ENSG00000127530	OR7C1	19	14909958	14911023	14909989	14910948	-
ENST00000248076	F2RL3	ENSG00000127533	F2RL3	19	16999671	17003417	17000001	17001429	+
ENST00000248089	HCFC1R1	ENSG00000103145	HCFC1R1	16	3072621	3074287	3072867	3073942	-
ENST00000248098	HN1L	ENSG00000206053	HN1L	16	1728257	1752281	1728314	1748996	+
ENST00000248114	GFER	ENSG00000127554	GFER	16	2034208	2037750	2034220	2036026	+
ENST00000248121	SYNGR3	ENSG00000127561	SYNGR3	16	2039661	2044276	2040104	2043070	+
ENST00000248150	GNG13	ENSG00000127588	GNG13	16	848041	850733	848722	849077	-
ENST00000248211	ZNF10	ENSG00000256223	ZNF10	12	133707161	133736051	133721079	133733551	+
ENST00000248244	TICAM1	ENSG00000127666	TICAM1	19	4815944	4831716	4816254	4818389	-
ENST00000248248	MON1B	ENSG00000103111	MON1B	16	77224732	77236302	77225383	77232202	+
ENST00000248306	METTL25	ENSG00000127720	METTL25	12	82752276	82873015	82752345	82872800	+
ENST00000248342	EIF3K	ENSG00000178982	EIF3K	19	39109735	39127595	39109909	39127557	+
ENST00000248384	OR1E2	ENSG00000127780	OR1E2	17	3336164	3337135	3336167	3337135	-
ENST00000248437	TUBA4A	ENSG00000127824	TUBA4A	2	220114433	220142892	220115077	220118580	-
ENST00000248444	VIL1	ENSG00000127831	VIL1	2	219283815	219318018	219288502	219314056	+
ENST00000248450	AAMP	ENSG00000127837	AAMP	2	219128850	219134980	219129259	219134809	-
ENST00000248553	HSPB1	ENSG00000106211	HSPB1	7	75931861	75933612	75932030	75933487	+
ENST00000248564	GNG11	ENSG00000127920	GNG11	7	93551011	93557922	93551450	93555525	+
ENST00000248566	SHFM1	ENSG00000127922	SHFM1	7	96110938	96339203	96318239	96339075	-
ENST00000248572	GNGT1	ENSG00000127928	GNGT1	7	93220885	93540577	93536059	93540227	+
ENST00000248594	PTPN12	ENSG00000127947	PTPN12	7	77166592	77269388	77166864	77268594	+
ENST00000248598	FGL2	ENSG00000127951	FGL2	7	76822688	76829143	76825599	76829110	-
ENST00000248600	STYXL1	ENSG00000127952	STYXL1	7	75625656	75677322	75625789	75659841	-
ENST00000248633	PEX1	ENSG00000127980	PEX1	7	92116334	92157845	92116774	92157749	-
ENST00000248668	LRFN1	ENSG00000128011	LRFN1	19	39797208	39805976	39798276	39805976	-
ENST00000248701	SPINK2	ENSG00000128040	SPINK2	4	57676026	57687908	57676308	57687828	-
ENST00000248706	RASL11B	ENSG00000128045	RASL11B	4	53728457	53733000	53728675	53731969	+
ENST00000248846	TUBGCP6	ENSG00000128159	TUBGCP6	22	50656118	50683421	50656168	50682888	-
ENST00000248879	DGCR6L	ENSG00000128185	DGCR6L	22	20301799	20307603	20302201	20307511	-
ENST00000248901	CYTH4	ENSG00000100055	CYTH4	22	37678068	37711382	37678611	37709549	+
ENST00000248929	SGSM3	ENSG00000100359	SGSM3	22	40766595	40806293	40796811	40805760	+
ENST00000248933	SEZ6L	ENSG00000100095	SEZ6L	22	26565440	26779562	26565636	26776258	+
ENST00000248935	GSTT1	ENSG00000184674	GSTT1	22	24376133	24384680	24376426	24384231	-
ENST00000248948	VPREB3	ENSG00000128218	VPREB3	22	24094930	24096655	24095066	24096550	-
ENST00000248958	SDF2L1	ENSG00000128228	SDF2L1	22	21996550	21998587	21996626	21998461	+
ENST00000248975	YWHAH	ENSG00000128245	YWHAH	22	32340447	32353590	32340720	32352776	+
ENST00000248984	C22orf24	ENSG00000128254	C22orf24	22	32329507	32341504	32330107	32334052	-
ENST00000248996	GNAZ	ENSG00000128266	GNAZ	22	23412540	23467224	23437883	23465615	+
ENST00000249007	RFPL3	ENSG00000128276	RFPL3	22	32750872	32757148	32754059	32756816	+
ENST00000249014	CDC42EP1	ENSG00000128283	CDC42EP1	22	37956454	37965412	37962357	37964824	+
ENST00000249016	MCHR1	ENSG00000128285	MCHR1	22	41074754	41078818	41075450	41077929	+
ENST00000249041	GALR3	ENSG00000128310	GALR3	22	38219389	38221502	38219414	38221474	+
ENST00000249044	APOL5	ENSG00000128313	APOL5	22	36113919	36125530	36113919	36124942	+
ENST00000249064	CCDC117	ENSG00000159873	CCDC117	22	29168662	29185283	29168838	29182311	+
ENST00000249066	APOL2	ENSG00000128335	APOL2	22	36622256	36636000	36623453	36629208	-
ENST00000249071	RAC2	ENSG00000128340	RAC2	22	37621301	37640488	37622716	37640188	-
ENST00000249075	LIF	ENSG00000128342	LIF	22	30636436	30642840	30639643	30642684	-
ENST00000249079	C22orf23	ENSG00000128346	C22orf23	22	38339528	38349676	38340185	38349156	-
ENST00000249269	PMPCB	ENSG00000105819	PMPCB	7	102937869	102969958	102937907	102952715	+
ENST00000249284	TAS2R16	ENSG00000128519	TAS2R16	7	122634759	122635754	122634816	122635688	-
ENST00000249299	NAA38	ENSG00000128534	NAA38	7	117824086	117832878	117824278	117832053	+
ENST00000249330	VGF	ENSG00000128564	VGF	7	100805790	100808874	100806280	100808124	-
ENST00000249344	STRIP2	ENSG00000128578	STRIP2	7	129074274	129128240	129074314	129125667	+
ENST00000249356	DNAJB9	ENSG00000128590	DNAJB9	7	108210012	108215294	108212171	108213794	+
ENST00000249363	LRRC4	ENSG00000128594	LRRC4	7	127667124	127672160	127668735	127670693	-
ENST00000249373	SMO	ENSG00000128602	SMO	7	128828713	128853386	128828993	128852289	+
ENST00000249389	OPN1SW	ENSG00000128617	OPN1SW	7	128412545	128415844	128412597	128415844	-
ENST00000249396	SIRT2	ENSG00000068903	SIRT2	19	39369197	39390502	39369798	39390161	-
ENST00000249442	MTX2	ENSG00000128654	MTX2	2	177134123	177202753	177134358	177202389	+
ENST00000249499	HOXD9	ENSG00000128709	HOXD9	2	176987088	176989853	176987497	176988900	+
ENST00000249501	HOXD10	ENSG00000128710	HOXD10	2	176973518	176984670	176981562	176983956	+
ENST00000249504	HOXD11	ENSG00000128713	HOXD11	2	176968944	176974722	176972084	176973867	+
ENST00000249598	GDF2	ENSG00000128802	GDF2	10	48413092	48416853	48413581	48416693	-
ENST00000249636	PIAS1	ENSG00000033800	PIAS1	15	68346517	68483096	68346665	68480170	+
ENST00000249647	SNAP23	ENSG00000092531	SNAP23	15	42783431	42837547	42804045	42823673	+
ENST00000249700	TMOD2	ENSG00000128872	TMOD2	15	52043758	52108565	52058639	52100648	+
ENST00000249749	DLL4	ENSG00000128917	DLL4	15	41221538	41231237	41221867	41230229	+
ENST00000249750	ALDH1A2	ENSG00000128918	ALDH1A2	15	58245622	58790065	58247398	58357848	-
ENST00000249776	KNSTRN	ENSG00000128944	KNSTRN	15	40674922	40686447	40675037	40685795	+
ENST00000249806	CLN6	ENSG00000128973	CLN6	15	68499330	68549549	68500481	68521922	-
ENST00000249842	ISLR	ENSG00000129009	ISLR	15	74466012	74469213	74467200	74468483	+
ENST00000249861	THAP10	ENSG00000129028	THAP10	15	71173681	71185124	71174796	71184611	-
ENST00000249883	AMOTL2	ENSG00000114019	AMOTL2	3	134074716	134094321	134076550	134090275	-
ENST00000249887	ACKR4	ENSG00000129048	ACKR4	3	132316081	132337811	132319242	132320291	+
ENST00000249910	MBD4	ENSG00000129071	MBD4	3	129149787	129158878	129150347	129158676	-
ENST00000249923	COPB1	ENSG00000129083	COPB1	11	14464986	14521573	14479373	14520474	-
ENST00000250003	MYOD1	ENSG00000129152	MYOD1	11	17741115	17743678	17741330	17743052	+
ENST00000250018	TPH1	ENSG00000129167	TPH1	11	18039111	18063973	18042541	18062309	-
ENST00000250055	SOX15	ENSG00000129194	SOX15	17	7491496	7493488	7491699	7492994	-
ENST00000250056	FAM64A	ENSG00000129195	FAM64A	17	6347735	6354789	6348431	6353739	+
ENST00000250076	ZNF232	ENSG00000167840	ZNF232	17	5008836	5026411	5009122	5015117	-
ENST00000250092	CD68	ENSG00000129226	CD68	17	7482785	7485429	7482996	7484826	+
ENST00000250101	TXNDC17	ENSG00000129235	TXNDC17	17	6544078	6547861	6544403	6546336	+
ENST00000250111	ATP1B2	ENSG00000129244	ATP1B2	17	7549945	7561086	7554837	7559210	+
ENST00000250113	FXR2	ENSG00000129245	FXR2	17	7494548	7518189	7495151	7517850	-
ENST00000250124	MPDU1	ENSG00000129255	MPDU1	17	7486847	7496107	7487181	7490866	+
ENST00000250144	MMP28	ENSG00000129270	MMP28	17	34083268	34122711	34105881	34122381	-
ENST00000250151	CCL4	ENSG00000129277	CCL4	17	34430983	34433014	34431299	34432702	+
ENST00000250156	MRM1	ENSG00000129282	MRM1	17	34958001	34965407	34958240	34964848	+
ENST00000250160	WISP1	ENSG00000104415	WISP1	8	134203282	134242587	134203388	134239950	+
ENST00000250173	LRRC6	ENSG00000129295	LRRC6	8	133584320	133687838	133584557	133687739	-
ENST00000250237	QTRT1	ENSG00000213339	QTRT1	19	10812106	10824113	10812137	10823943	+
ENST00000250244	AP1M2	ENSG00000129354	AP1M2	19	10683347	10697991	10683745	10697907	-
ENST00000250340	CLEC11A	ENSG00000105472	CLEC11A	19	51226586	51228974	51226783	51228721	+
ENST00000250351	KLK12	ENSG00000186474	KLK12	19	51532348	51538486	51532414	51537877	-
ENST00000250378	CMA1	ENSG00000092009	CMA1	14	24974559	24977471	24974725	24977441	-
ENST00000250405	BCL2L2	ENSG00000129473	BCL2L2	14	23767999	23780968	23776977	23778171	+
ENST00000250416	PARP2	ENSG00000129484	PARP2	14	20811741	20826064	20811801	20825953	+
ENST00000250448	FOXA1	ENSG00000129514	FOXA1	14	38059189	38069245	38060573	38064177	-
ENST00000250454	EAPP	ENSG00000129518	EAPP	14	34985135	35008916	34985519	35008834	-
ENST00000250457	EGLN3	ENSG00000129521	EGLN3	14	34393437	34931980	34395100	34419958	-
ENST00000250495	NEDD8	ENSG00000129559	NEDD8	14	24686058	24701660	24686336	24701473	-
ENST00000250498	DAD1	ENSG00000129562	DAD1	14	23033805	23058175	23044006	23058063	-
ENST00000250535	CDO1	ENSG00000129596	CDO1	5	115140430	115152651	115141133	115152094	-
ENST00000250559	RAP1B	ENSG00000127314	RAP1B	12	69004619	69054372	69042505	69050964	+
ENST00000250615	AANAT	ENSG00000129673	AANAT	17	74449433	74466199	74462255	74466049	+
ENST00000250617	ARHGEF6	ENSG00000129675	ARHGEF6	X	135747706	135864247	135750191	135863041	-
ENST00000250693	ART1	ENSG00000129744	ART1	11	3666358	3685646	3680444	3685416	+
ENST00000250699	CHRNA10	ENSG00000129749	CHRNA10	11	3686817	3692614	3687340	3692542	-
ENST00000250784	RPS4Y1	ENSG00000129824	RPS4Y1	Y	2709527	2800041	2709666	2734932	+
ENST00000250831	RBMY1J	ENSG00000226941	RBMY1J	Y	24454970	24564028	24551595	24563747	+
ENST00000250863	DAZL	ENSG00000092345	DAZL	3	16628299	16711813	16630170	16646009	-
ENST00000250894	MAPK8IP3	ENSG00000138834	MAPK8IP3	16	1756184	1820318	1756341	1818822	+
ENST00000250896	MKNK2	ENSG00000099875	MKNK2	19	2037470	2051243	2039615	2050850	-
ENST00000250916	KLF16	ENSG00000129911	KLF16	19	1852399	1863567	1854461	1863496	-
ENST00000250974	ABHD17A	ENSG00000129968	ABHD17A	19	1876809	1885546	1877202	1881565	-
ENST00000251020	SALL1	ENSG00000103449	SALL1	16	51169886	51185278	51171026	51185152	-
ENST00000251038	ZC3H14	ENSG00000100722	ZC3H14	14	89029253	89079853	89029478	89078092	+
ENST00000251047	LMAN1	ENSG00000074695	LMAN1	18	56995055	57027194	56998328	57026476	-
ENST00000251089	ANGEL1	ENSG00000013523	ANGEL1	14	77253588	77292589	77255574	77279170	-
ENST00000251102	CNGB1	ENSG00000070729	CNGB1	16	57917503	58005020	57918071	58001190	-
ENST00000251108	CDADC1	ENSG00000102543	CDADC1	13	49822047	49867618	49822174	49865890	+
ENST00000251127	NALCN	ENSG00000102452	NALCN	13	101706130	102068843	101707650	102051477	-
ENST00000251166	CORO7	ENSG00000262246	CORO7	16	4404543	4475706	4405162	4466519	-
ENST00000251170	SEC14L5	ENSG00000103184	SEC14L5	16	5008318	5069159	5009325	5064968	+
ENST00000251203	PBX4	ENSG00000105717	PBX4	19	19672522	19729725	19672837	19729438	-
ENST00000251241	DHX40	ENSG00000108406	DHX40	17	57642886	57685706	57643033	57684530	+
ENST00000251250	DTWD1	ENSG00000104047	DTWD1	15	49913177	49937333	49917365	49935772	+
ENST00000251269	ZNF221	ENSG00000159905	ZNF221	19	44455375	44471861	44466879	44471505	+
ENST00000251287	HCN2	ENSG00000099822	HCN2	19	589893	617159	589946	616471	+
ENST00000251289	WDR18	ENSG00000065268	WDR18	19	983174	994569	984354	994340	+
ENST00000251296	IGSF21	ENSG00000117154	IGSF21	1	18434240	18704977	18434623	18704817	+
ENST00000251303	SLX1A	ENSG00000132207	SLX1A	16	30205208	30208882	30205406	30208784	+
ENST00000251312	DHRS11	ENSG00000108272	DHRS11	17	34948228	34957235	34948440	34956629	+
ENST00000251343	KHNYN	ENSG00000100441	KHNYN	14	24898492	24910540	24899937	24906488	+
ENST00000251363	CERS4	ENSG00000090661	CERS4	19	8271620	8327305	8315961	8326990	+
ENST00000251372	LILRA1	ENSG00000104974	LILRA1	19	55105047	55113555	55105710	55112279	+
ENST00000251377	LILRA2	ENSG00000239998	LILRA2	19	55084387	55099027	55085346	55098810	+
ENST00000251390	LILRA3	ENSG00000170866	LILRA3	19	54799854	54809952	54800049	54804173	-
ENST00000251412	TUBG2	ENSG00000037042	TUBG2	17	40811323	40819024	40811522	40818815	+
ENST00000251413	TUBG1	ENSG00000131462	TUBG1	17	40761694	40767252	40761756	40767056	+
ENST00000251453	RPS16	ENSG00000105193	RPS16	19	39923847	39926588	39923916	39926535	-
ENST00000251472	MAST1	ENSG00000105613	MAST1	19	12944765	12985765	12949387	12985681	+
ENST00000251496	NCAPG	ENSG00000109805	NCAPG	4	17812525	17846485	17812701	17845045	+
ENST00000251507	RABGAP1L	ENSG00000152061	RABGAP1L	1	174128548	174964445	174188296	174927039	+
ENST00000251527	ESYT2	ENSG00000117868	ESYT2	7	158523686	158622944	158526901	158622253	-
ENST00000251535	ALOX12	ENSG00000108839	ALOX12	17	6899384	6914055	6899437	6913739	+
ENST00000251566	UGT2A3	ENSG00000135220	UGT2A3	4	69794181	69817509	69795534	69817478	-
ENST00000251582	ADAMTS2	ENSG00000087116	ADAMTS2	5	178537852	178772431	178540871	178772329	-
ENST00000251588	NARFL	ENSG00000103245	NARFL	16	779753	791329	780420	790985	-
ENST00000251595	HBA2	ENSG00000188536	HBA2	16	222846	223709	222912	223596	+
ENST00000251607	TRNT1	ENSG00000072756	TRNT1	3	3168600	3192563	3170725	3189835	+
ENST00000251636	DHX29	ENSG00000067248	DHX29	5	54552073	54603550	54552319	54603401	-
ENST00000251642	DHX58	ENSG00000108771	DHX58	17	40253422	40264751	40253782	40263910	-
ENST00000251643	KRT12	ENSG00000187242	KRT12	17	39017555	39023462	39017916	39023438	-
ENST00000251645	KRT31	ENSG00000094796	KRT31	17	39549976	39553844	39550271	39553791	-
ENST00000251646	KRT33B	ENSG00000131738	KRT33B	17	39519746	39526052	39520091	39526002	-
ENST00000251691	KIAA1244	ENSG00000112379	KIAA1244	6	138483058	138665800	138483224	138657620	+
ENST00000251775	SNX4	ENSG00000114520	SNX4	3	125165495	125239041	125166626	125239016	-
ENST00000251808	GRHL2	ENSG00000083307	GRHL2	8	102504660	102681954	102504998	102678928	+
ENST00000251810	RRM2B	ENSG00000048392	RRM2B	8	103216730	103251346	103220364	103251102	-
ENST00000251849	RAF1	ENSG00000132155	RAF1	3	12625100	12705725	12626016	12660220	-
ENST00000251864	TDRD1	ENSG00000095627	TDRD1	10	115939029	115992063	115947591	115991273	+
ENST00000251871	MED17	ENSG00000042429	MED17	11	93517393	93547861	93517680	93545227	+
ENST00000251900	SCML2	ENSG00000102098	SCML2	X	18257434	18372847	18259374	18352191	-
ENST00000251921	NXPE1	ENSG00000095110	NXPE1	11	114392437	114430617	114392693	114401303	-
ENST00000251968	TSG101	ENSG00000074319	TSG101	11	18489883	18548779	18502096	18548363	-
ENST00000251993	KIAA0930	ENSG00000100364	KIAA0930	22	45586219	45636650	45593060	45608224	-
ENST00000252011	DHX35	ENSG00000101452	DHX35	20	37590942	37668366	37591011	37667183	+
ENST00000252015	TRPC4AP	ENSG00000100991	TRPC4AP	20	33590207	33680674	33590952	33680584	-
ENST00000252032	C20orf194	ENSG00000088854	C20orf194	20	3229951	3388272	3233221	3388204	-
ENST00000252034	ELN	ENSG00000049540	ELN	7	73442119	73484237	73442518	73483027	+
ENST00000252037	FKBP6	ENSG00000077800	FKBP6	7	72742167	72772634	72742432	72756894	+
ENST00000252050	CUL9	ENSG00000112659	CUL9	6	43149913	43192325	43152049	43192180	+
ENST00000252085	PCDHGA12	ENSG00000253159	PCDHGA12	5	140810185	140892546	140810327	140890737	+
ENST00000252087	PCDHGC5	ENSG00000240764	PCDHGC5	5	140868808	140892546	140868808	140890737	+
ENST00000252102	NDUFA2	ENSG00000131495	NDUFA2	5	140018325	140027370	140025175	140027168	-
ENST00000252115	POLDIP3	ENSG00000100227	POLDIP3	22	42979727	43010968	42981800	43010863	-
ENST00000252136	TRMT2A	ENSG00000099899	TRMT2A	22	20099389	20104915	20100089	20104429	-
ENST00000252137	DGCR14	ENSG00000100056	DGCR14	22	19117792	19132197	19121712	19132153	-
ENST00000252229	MICB	ENSG00000204516	MICB	6	31462658	31478901	31465971	31477683	+
ENST00000252242	KRT5	ENSG00000186081	KRT5	12	52908359	52914471	52908729	52914080	-
ENST00000252244	KRT1	ENSG00000167768	KRT1	12	53068520	53074191	53068980	53074132	-
ENST00000252245	KRT75	ENSG00000170454	KRT75	12	52817854	52828309	52818304	52828088	-
ENST00000252250	KRT6C	ENSG00000170465	KRT6C	12	52862300	52867569	52862849	52867521	-
ENST00000252252	KRT6B	ENSG00000185479	KRT6B	12	52840435	52845910	52840977	52845862	-
ENST00000252318	GALNT8	ENSG00000130035	GALNT8	12	4829507	4960277	4829844	4881760	+
ENST00000252321	KCNA5	ENSG00000130037	KCNA5	12	5153085	5155949	5153314	5155152	+
ENST00000252338	FAM155B	ENSG00000130054	FAM155B	X	68725084	68752351	68725126	68749796	+
ENST00000252445	ELOF1	ENSG00000130165	ELOF1	19	11661962	11670051	11664564	11665162	-
ENST00000252453	C19orf80	ENSG00000130173	C19orf80	19	11348178	11352619	11350314	11352360	+
ENST00000252455	PRKCSH	ENSG00000130175	PRKCSH	19	11546109	11561783	11546939	11560224	+
ENST00000252456	CNN1	ENSG00000130176	CNN1	19	11649532	11661138	11649743	11660607	+
ENST00000252463	ZSCAN10	ENSG00000130182	ZSCAN10	16	3138891	3149318	3139095	3142773	-
ENST00000252483	PVRL2	ENSG00000130202	PVRL2	19	45349432	45392485	45349783	45391633	+
ENST00000252486	APOE	ENSG00000130203	APOE	19	45409011	45412650	45409882	45412504	+
ENST00000252505	ALLC	ENSG00000151360	ALLC	2	3705785	3750261	3718748	3750150	+
ENST00000252506	GADD45G	ENSG00000130222	GADD45G	9	92219928	92221470	92220037	92220991	+
ENST00000252512	XPO7	ENSG00000130227	XPO7	8	21777180	21864096	21777282	21862596	+
ENST00000252530	FAM98C	ENSG00000130244	FAM98C	19	38893775	38899728	38893794	38899519	+
ENST00000252542	SAFB2	ENSG00000130254	SAFB2	19	5587010	5624057	5587257	5622726	-
ENST00000252575	NCAN	ENSG00000130287	NCAN	19	19322782	19363042	19327763	19360717	+
ENST00000252590	PLVAP	ENSG00000130300	PLVAP	19	17462257	17488159	17463174	17488097	-
ENST00000252593	BST2	ENSG00000130303	BST2	19	17513748	17516457	17514507	17516384	-
ENST00000252595	SLC27A1	ENSG00000130304	SLC27A1	19	17579578	17616977	17581350	17615418	+
ENST00000252597	USHBP1	ENSG00000130307	USHBP1	19	17359985	17393595	17361037	17375108	-
ENST00000252599	COLGALT1	ENSG00000130309	COLGALT1	19	17666403	17693971	17666523	17692250	+
ENST00000252602	MRPL34	ENSG00000130312	MRPL34	19	17403418	17417652	17416702	17417185	+
ENST00000252603	PGLS	ENSG00000130313	PGLS	19	17622438	17632097	17622482	17631887	+
ENST00000252622	LSM7	ENSG00000130332	LSM7	19	2321516	2328619	2321682	2328565	-
ENST00000252655	RSPH3	ENSG00000130363	RSPH3	6	159393903	159421219	159398573	159421008	-
ENST00000252660	MAS1	ENSG00000130368	MAS1	6	160327974	160329108	160327988	160328962	+
ENST00000252674	MLLT1	ENSG00000130382	MLLT1	19	6212966	6279959	6213056	6279795	-
ENST00000252675	FUT5	ENSG00000130383	FUT5	19	5865837	5903798	5866615	5867736	-
ENST00000252677	BMP15	ENSG00000130385	BMP15	X	50653784	50659607	50653784	50659604	+
ENST00000252699	ACTN4	ENSG00000130402	ACTN4	19	39138289	39222223	39138386	39220069	+
ENST00000252711	NDUFA10	ENSG00000130414	NDUFA10	2	240831867	240964819	240900538	240964718	-
ENST00000252723	EPO	ENSG00000130427	EPO	7	100318423	100321323	100318604	100320753	+
ENST00000252729	CACNG6	ENSG00000130433	CACNG6	19	54495542	54515923	54496132	54515440	+
ENST00000252744	ZSWIM6	ENSG00000130449	ZSWIM6	5	60628100	60841997	60628100	60840141	+
ENST00000252797	ZNF764	ENSG00000169951	ZNF764	16	30565085	30569819	30566518	30569503	-
ENST00000252799	ZNF747	ENSG00000169955	ZNF747	16	30537244	30546668	30544383	30546000	-
ENST00000252804	PXDN	ENSG00000130508	PXDN	2	1635659	1748624	1637979	1748227	-
ENST00000252809	GDF15	ENSG00000130513	GDF15	19	18485541	18499986	18497000	18499742	+
ENST00000252818	JUND	ENSG00000130522	JUND	19	18390563	18392432	18391254	18392294	-
ENST00000252825	HRC	ENSG00000130528	HRC	19	49654455	49658681	49654556	49658494	-
ENST00000252826	TRPM4	ENSG00000130529	TRPM4	19	49660998	49715093	49661124	49714752	+
ENST00000252835	OR11H1	ENSG00000130538	OR11H1	22	16448824	16449805	16448827	16449804	-
ENST00000252854	OLFM1	ENSG00000130558	OLFM1	9	137967268	138013025	137967553	138012021	+
ENST00000252891	NUMBL	ENSG00000105245	NUMBL	19	41172596	41196877	41173376	41196388	-
ENST00000252934	ATXN10	ENSG00000130638	ATXN10	22	46067678	46241187	46067944	46239058	+
ENST00000252939	CALY	ENSG00000130643	CALY	10	135138927	135150475	135139334	135142493	-
ENST00000252951	HBZ	ENSG00000130656	HBZ	16	202686	204502	202909	204396	+
ENST00000252971	MNX1	ENSG00000130675	MNX1	7	156786745	156803345	156798217	156803044	-
ENST00000252992	CEP85	ENSG00000130695	CEP85	1	26560691	26605299	26566275	26603781	+
ENST00000252996	TAF4	ENSG00000130699	TAF4	20	60528525	60640866	60551227	60640866	-
ENST00000252997	GATA5	ENSG00000130700	GATA5	20	61038553	61051026	61039895	61050577	-
ENST00000252998	RBBP8NL	ENSG00000130701	RBBP8NL	20	60985293	61002589	60985937	60994703	-
ENST00000252999	LAMA5	ENSG00000130702	LAMA5	20	60883011	60942368	60884395	60942301	-
ENST00000253003	ADRM1	ENSG00000130706	ADRM1	20	60877149	60883918	60878625	60883814	+
ENST00000253008	PRDM12	ENSG00000130711	PRDM12	9	133539981	133558368	133540041	133557053	+
ENST00000253023	UBE2M	ENSG00000130725	UBE2M	19	59067079	59070327	59067459	59069748	-
ENST00000253024	TRIM28	ENSG00000130726	TRIM28	19	59055458	59062089	59056125	59061917	+
ENST00000253039	EIF2S3	ENSG00000130741	EIF2S3	X	24072833	24096088	24073086	24094899	+
ENST00000253047	TMEM160	ENSG00000130748	TMEM160	19	47549165	47551888	47549248	47551872	-
ENST00000253048	ZC3H4	ENSG00000130749	ZC3H4	19	47567444	47617009	47569616	47615841	-
ENST00000253055	MAP3K10	ENSG00000130758	MAP3K10	19	40697651	40721482	40697939	40721196	+
ENST00000253063	SESN2	ENSG00000130766	SESN2	1	28586038	28609002	28586359	28607310	+
ENST00000253079	CCDC62	ENSG00000130783	CCDC62	12	123258874	123312075	123259218	123307963	+
ENST00000253083	HIP1R	ENSG00000130787	HIP1R	12	123319000	123347507	123320098	123346297	+
ENST00000253099	MRPL4	ENSG00000105364	MRPL4	19	10362577	10370721	10362930	10370486	+
ENST00000253108	EIF3G	ENSG00000130811	EIF3G	19	10225693	10230596	10225793	10230535	-
ENST00000253109	ANGPTL6	ENSG00000130812	ANGPTL6	19	10203014	10213472	10203268	10207239	-
ENST00000253110	C19orf66	ENSG00000130813	C19orf66	19	10196798	10203928	10197104	10202975	+
ENST00000253122	SLC6A8	ENSG00000130821	SLC6A8	X	152953554	152962048	152954030	152960666	+
ENST00000253144	ZNF331	ENSG00000130844	ZNF331	19	54024235	54083523	54072631	54081203	+
ENST00000253159	ZNF236	ENSG00000130856	ZNF236	18	74534563	74682683	74536314	74680292	+
ENST00000253188	SLC7A10	ENSG00000130876	SLC7A10	19	33699570	33716756	33699800	33716609	-
ENST00000253193	LRP3	ENSG00000130881	LRP3	19	33668509	33698694	33685692	33698478	+
ENST00000253233	C12orf65	ENSG00000130921	C12orf65	12	123717463	123742506	123738222	123741575	+
ENST00000253237	GRWD1	ENSG00000105447	GRWD1	19	48949030	48960279	48949263	48956279	+
ENST00000253247	NOL11	ENSG00000130935	NOL11	17	65713949	65740647	65714064	65739972	+
ENST00000253255	PKDREJ	ENSG00000130943	PKDREJ	22	46651560	46659219	46652461	46659219	-
ENST00000253262	NUTM2F	ENSG00000130950	NUTM2F	9	97077605	97090926	97080750	97090905	-
ENST00000253270	SLC35D2	ENSG00000130958	SLC35D2	9	99082988	99145992	99083527	99145916	-
ENST00000253329	PPIL4	ENSG00000131013	PPIL4	6	149825869	149867174	149826592	149867141	-
ENST00000253354	BPIFB1	ENSG00000125999	BPIFB1	20	31861286	31897684	31873880	31897570	+
ENST00000253362	BPIFA2	ENSG00000131050	BPIFA2	20	31749574	31769218	31756952	31768363	+
ENST00000253363	RBM39	ENSG00000131051	RBM39	20	34291531	34330234	34292406	34328796	-
ENST00000253381	DEFB118	ENSG00000131068	DEFB118	20	29956421	29961726	29956454	29960970	+
ENST00000253382	ACSS2	ENSG00000131069	ACSS2	20	33459949	33515769	33464449	33515014	+
ENST00000253401	ARHGEF9	ENSG00000131089	ARHGEF9	X	62854847	63005426	62857911	62974192	-
ENST00000253407	C1QL1	ENSG00000131094	C1QL1	17	43037061	43045439	43037559	43045416	-
ENST00000253410	HIGD1B	ENSG00000131097	HIGD1B	17	42923721	42927848	42925521	42927761	+
ENST00000253413	ATP6V1E1	ENSG00000131100	ATP6V1E1	22	18074902	18111584	18075443	18111401	-
ENST00000253457	EMC8	ENSG00000131148	EMC8	16	85805364	85833214	85813317	85832901	-
ENST00000253458	GSE1	ENSG00000131149	GSE1	16	85645015	85709810	85646998	85706142	+
ENST00000253462	GINS2	ENSG00000131153	GINS2	16	85709804	85723679	85711821	85722504	-
ENST00000253496	F12	ENSG00000131187	F12	5	176829141	176836577	176829296	176836528	-
ENST00000253577	ABCB7	ENSG00000131269	ABCB7	X	74273115	74376567	74273208	74376107	-
ENST00000253669	HAUS8	ENSG00000131351	HAUS8	19	17160539	17186435	17160686	17186232	-
ENST00000253673	EMR3	ENSG00000131355	EMR3	19	14729929	14800839	14730248	14785582	-
