transcript	classification	median_mcr_mis_oe
ENST00000354911	B/LB	0.97964
ENST00000355057	P/LP	0.32666
ENST00000355243	P/LP	0.52338
ENST00000355243	B/LB	0.95317
ENST00000355285	B/LB	0.92938
ENST00000355286	P/LP	0.89049
ENST00000355286	B/LB	0.89049
ENST00000355426	P/LP	0.75535
ENST00000355426	B/LB	0.75535
ENST00000355476	P/LP	0.18444
ENST00000355476	B/LB	0.854895
ENST00000355485	B/LB	0.98692
ENST00000355710	P/LP	0.87665
ENST00000355710	B/LB	0.87665
ENST00000356126	B/LB	0.77068
ENST00000356239	B/LB	0.97162
ENST00000356577	P/LP	0.81585
ENST00000356577	B/LB	1.0369
ENST00000356608	B/LB	0.97553
ENST00000356638	P/LP	0.8143
ENST00000356638	B/LB	0.97523
ENST00000356805	P/LP	0.47383
ENST00000356805	B/LB	0.79414
ENST00000356884	P/LP	0.72311
ENST00000356884	B/LB	0.816565
ENST00000356978	P/LP	0.12968
ENST00000357077	P/LP	0.97329
ENST00000357077	B/LB	0.97329
ENST00000357195	P/LP	0.18697
ENST00000357195	B/LB	0.75808
ENST00000357552	B/LB	1.0264
ENST00000357628	P/LP	0.73807
ENST00000357628	B/LB	0.96466
ENST00000358055	P/LP	0.78861
ENST00000358055	B/LB	0.78861
ENST00000358173	P/LP	0.61025
ENST00000358173	B/LB	0.87855
ENST00000358385	P/LP	0.36547
ENST00000358385	B/LB	0.73241
ENST00000358432	P/LP	0.70766
ENST00000358432	B/LB	0.84611
ENST00000358502	B/LB	1.1348
ENST00000358602	P/LP	0.42213
ENST00000358602	B/LB	0.93391
ENST00000358664	P/LP	0.64158
ENST00000358664	B/LB	0.56209
ENST00000358704	P/LP	0.21313
ENST00000358704	B/LB	0.85251
ENST00000358758	P/LP	0.89894
ENST00000358758	B/LB	1.1646
ENST00000358901	P/LP	0.24626
ENST00000358901	B/LB	0.51911
ENST00000359062	P/LP	1.1415
ENST00000359062	B/LB	1.1415
ENST00000359106	P/LP	0.410895
ENST00000359106	B/LB	1.0023
ENST00000359125	P/LP	0.10842
ENST00000359125	B/LB	0.84367
ENST00000359263	B/LB	0.98197
ENST00000359441	B/LB	0.85115
ENST00000359478	B/LB	0.94885
ENST00000359526	P/LP	0.37984
ENST00000359526	B/LB	0.87251
ENST00000359621	P/LP	0.93504
ENST00000359621	B/LB	0.93504
ENST00000360184	P/LP	0.38368
ENST00000360184	B/LB	0.48221
ENST00000360228	P/LP	0.3627
ENST00000360228	B/LB	1.022
ENST00000360526	B/LB	1.15595
ENST00000360568	B/LB	0.87099
ENST00000360647	P/LP	0.75825
ENST00000360647	B/LB	0.74076
ENST00000360864	P/LP	0.78627
ENST00000360864	B/LB	0.753505
ENST00000361246	P/LP	0.57607
ENST00000361246	B/LB	0.89973
ENST00000361283	B/LB	1.2135
ENST00000361360	P/LP	0.18568
ENST00000361373	P/LP	0.95271
ENST00000361373	B/LB	0.95271
ENST00000361418	P/LP	0.818
ENST00000361418	B/LB	0.818
ENST00000361434	P/LP	0.68966
ENST00000361434	B/LB	0.65173
ENST00000361487	P/LP	0.66068
ENST00000361487	B/LB	1.0593
ENST00000361492	P/LP	0.54578
ENST00000361492	B/LB	1.0225
ENST00000361548	P/LP	0.75328
ENST00000361548	B/LB	0.75328
ENST00000361735	B/LB	0.92735
ENST00000361804	P/LP	0.33344
ENST00000361804	B/LB	0.42779
ENST00000361965	B/LB	0.98068
ENST00000362061	P/LP	0.96955
ENST00000362061	B/LB	0.96955
ENST00000366574	P/LP	0.4254
ENST00000366574	B/LB	0.82177
ENST00000366578	P/LP	0.65188
ENST00000366578	B/LB	0.90265
ENST00000366641	B/LB	0.66494
ENST00000366756	P/LP	0.65816
ENST00000366756	B/LB	0.97677
ENST00000366773	B/LB	1.0334
ENST00000366783	P/LP	0.88946
ENST00000366783	B/LB	0.88946
ENST00000366835	P/LP	0.913635
ENST00000366835	B/LB	0.8785
ENST00000366862	P/LP	0.80187
ENST00000366862	B/LB	0.80187
ENST00000366930	P/LP	0.75363
ENST00000366930	B/LB	0.75363
ENST00000367021	P/LP	0.37477
ENST00000367021	B/LB	0.56313
ENST00000367182	B/LB	0.75079
ENST00000367498	B/LB	0.64251
ENST00000367559	P/LP	0.96148
ENST00000367559	B/LB	0.96148
ENST00000367573	P/LP	0.3514
ENST00000367573	B/LB	0.92306
ENST00000367590	P/LP	0.45091
ENST00000367590	B/LB	0.651885
ENST00000367603	P/LP	0.5081
ENST00000367603	B/LB	0.90646
ENST00000367651	P/LP	0.44928
ENST00000367651	B/LB	1.2176
ENST00000367851	B/LB	0.90213
ENST00000367999	P/LP	0.85175
ENST00000367999	B/LB	0.85175
ENST00000368061	B/LB	0.75981
ENST00000368074	P/LP	0.53425
ENST00000368074	B/LB	0.85984
ENST00000368078	P/LP	0.96322
ENST00000368078	B/LB	0.96322
ENST00000368125	P/LP	0.7627
ENST00000368323	P/LP	0.7547
ENST00000368356	B/LB	0.78761
ENST00000368467	B/LB	0.88401
ENST00000368491	P/LP	0.21813
ENST00000368491	B/LB	1.0539
ENST00000368655	P/LP	0.47798
ENST00000368655	B/LB	0.70221
ENST00000368742	B/LB	1.1385
ENST00000368886	P/LP	0.27812
ENST00000368886	B/LB	0.53466
ENST00000368911	P/LP	0.049174
ENST00000368911	B/LB	0.615885
ENST00000369002	B/LB	0.77132
ENST00000369085	P/LP	1.0388
ENST00000369085	B/LB	1.0388
ENST00000369235	P/LP	1.097
ENST00000369235	B/LB	1.097
ENST00000369329	P/LP	0.35815
ENST00000369329	B/LB	0.91201
ENST00000369415	P/LP	0.51195
ENST00000369452	P/LP	0.714815
ENST00000369452	B/LB	0.727475
ENST00000369519	P/LP	0.98256
ENST00000369519	B/LB	0.98256
ENST00000369577	P/LP	0.82871
ENST00000369577	B/LB	1.0853
ENST00000369663	B/LB	1.0505
ENST00000369851	P/LP	0.83796
ENST00000369851	B/LB	0.83796
ENST00000370321	P/LP	0.64959
ENST00000370321	B/LB	0.64959
ENST00000370351	B/LB	0.92389
ENST00000370360	B/LB	0.89251
ENST00000370398	P/LP	0.56866
ENST00000370398	B/LB	0.9308
ENST00000371068	B/LB	0.9253
ENST00000371141	B/LB	0.85779
ENST00000371418	P/LP	0.65196
ENST00000371418	B/LB	0.65196
ENST00000371475	B/LB	0.71929
ENST00000371621	B/LB	0.6379
ENST00000371741	P/LP	0.18757
ENST00000371741	B/LB	0.97487
ENST00000371757	P/LP	0.65675
ENST00000371757	B/LB	1.0402
ENST00000371790	P/LP	0.87317
ENST00000371790	B/LB	0.87317
ENST00000371817	P/LP	0.70854
ENST00000371817	B/LB	0.93086
ENST00000372080	B/LB	1.1138
ENST00000372325	P/LP	1.0089
ENST00000372325	B/LB	1.0089
ENST00000372476	B/LB	0.97445
ENST00000372600	B/LB	0.56915
ENST00000372739	P/LP	0.67778
ENST00000372739	B/LB	0.67778
ENST00000372764	B/LB	0.83452
ENST00000372923	P/LP	0.434075
ENST00000372923	B/LB	0.57447
ENST00000372958	P/LP	1.0063
ENST00000372958	B/LB	1.0063
ENST00000373203	P/LP	0.86265
ENST00000373203	B/LB	0.86265
ENST00000373243	P/LP	0.51332
ENST00000373243	B/LB	0.62204
ENST00000373313	P/LP	0.81432
ENST00000373313	B/LB	0.81432
ENST00000373474	P/LP	0.79519
ENST00000373474	B/LB	0.86244
ENST00000373588	P/LP	0.45284
ENST00000373588	B/LB	1.0204
ENST00000373886	B/LB	0.93588
ENST00000373980	P/LP	0.71089
ENST00000373980	B/LB	0.71089
ENST00000374198	P/LP	0.73101
ENST00000374198	B/LB	0.73101
ENST00000374518	B/LB	1.0158
ENST00000374580	P/LP	0.58992
ENST00000374580	B/LB	0.9202
ENST00000374866	P/LP	0.81273
ENST00000374866	B/LB	0.81273
ENST00000374994	P/LP	0.37222
ENST00000374994	B/LB	0.87066
ENST00000375190	P/LP	1.0297
ENST00000375190	B/LB	1.0297
ENST00000375437	P/LP	0.30594
ENST00000375437	B/LB	0.77451
ENST00000375645	B/LB	0.87005
ENST00000375749	B/LB	0.93137
ENST00000375754	P/LP	0.54553
ENST00000375754	B/LB	0.643345
ENST00000375856	B/LB	1.1065
ENST00000375882	P/LP	0.38511
ENST00000375936	B/LB	1.3008
ENST00000375949	P/LP	0.89629
ENST00000375949	B/LB	0.89629
ENST00000376087	B/LB	0.99856
ENST00000376143	B/LB	0.919035
ENST00000376263	P/LP	0.21294
ENST00000376263	B/LB	0.62799
ENST00000376335	P/LP	0.31146
ENST00000376335	B/LB	0.93723
ENST00000376442	P/LP	0.57532
ENST00000376442	B/LB	0.82371
ENST00000376709	B/LB	1.0435
ENST00000376810	P/LP	0.85759
ENST00000376810	B/LB	0.67587
ENST00000376896	P/LP	0.31791
ENST00000376896	B/LB	0.85781
ENST00000376917	B/LB	0.83393
ENST00000377139	B/LB	0.90322
ENST00000377208	B/LB	1.02
ENST00000377532	B/LB	1.0886
ENST00000377770	B/LB	0.83086
ENST00000378466	B/LB	0.8636
ENST00000378538	P/LP	0.34738
ENST00000378585	P/LP	0.65279
ENST00000378585	B/LB	0.99736
ENST00000378733	P/LP	0.93363
ENST00000378733	B/LB	0.93363
ENST00000379328	P/LP	0.29037
ENST00000379328	B/LB	1.0753
ENST00000379613	P/LP	0.43578
ENST00000379613	B/LB	0.8792
ENST00000379645	B/LB	0.8916
ENST00000379692	B/LB	0.92462
ENST00000379826	B/LB	0.95367
ENST00000379939	P/LP	0.46186
ENST00000379939	B/LB	0.8704
ENST00000380003	B/LB	1.0637
ENST00000380036	P/LP	0.56518
ENST00000380036	B/LB	0.80872
ENST00000380293	P/LP	0.66977
ENST00000380293	B/LB	0.66977
ENST00000380445	B/LB	0.85088
ENST00000380518	P/LP	0.62438
ENST00000380518	B/LB	0.62438
ENST00000380672	B/LB	1.029
ENST00000380953	P/LP	0.46417
ENST00000380953	B/LB	0.9403
ENST00000381342	P/LP	0.67642
ENST00000381527	P/LP	0.088153
ENST00000381527	B/LB	0.5358
ENST00000381604	P/LP	0.31398
ENST00000381604	B/LB	0.78577
ENST00000381911	P/LP	0.82481
ENST00000382199	B/LB	0.65752
ENST00000382353	P/LP	0.62846
ENST00000382353	B/LB	0.782855
ENST00000382545	P/LP	0.28974
ENST00000382545	B/LB	1.1709
ENST00000382614	P/LP	1.2325
ENST00000382614	B/LB	1.2325
ENST00000382723	P/LP	1.0723
ENST00000382723	B/LB	1.1598
ENST00000382952	P/LP	0.62105
ENST00000382952	B/LB	0.62105
ENST00000383202	P/LP	0.76687
ENST00000383202	B/LB	0.74127
ENST00000383673	B/LB	0.92021
ENST00000383763	B/LB	1.232
ENST00000383829	P/LP	0.58602
ENST00000383829	B/LB	0.91023
ENST00000388913	B/LB	1.1489
ENST00000388922	P/LP	0.57128
ENST00000388922	B/LB	0.57128
ENST00000388996	P/LP	0.40711
ENST00000388996	B/LB	0.99627
ENST00000389266	P/LP	0.8095
ENST00000389266	B/LB	0.8095
ENST00000389554	P/LP	0.11277
ENST00000389554	B/LB	0.70605
ENST00000392038	P/LP	0.55241
ENST00000392038	B/LB	0.70307
ENST00000392403	P/LP	0.75332
ENST00000392403	B/LB	0.87898
ENST00000392455	B/LB	0.96424
ENST00000392589	P/LP	0.85587
ENST00000392589	B/LB	0.85587
ENST00000392750	P/LP	0.7097
ENST00000392750	B/LB	0.7097
ENST00000392882	P/LP	0.66244
ENST00000392882	B/LB	0.66244
ENST00000392894	B/LB	0.82788
ENST00000392924	B/LB	0.89397
ENST00000393033	B/LB	0.91096
ENST00000393110	B/LB	0.97662
ENST00000393450	P/LP	0.98452
ENST00000393450	B/LB	0.98452
ENST00000393655	P/LP	0.41446
ENST00000393655	B/LB	0.91688
ENST00000393959	P/LP	0.18188
ENST00000393959	B/LB	0.88138
ENST00000394166	P/LP	0.44892
ENST00000394196	P/LP	0.23072
ENST00000394196	B/LB	0.92622
ENST00000394411	B/LB	0.66173
ENST00000394419	P/LP	0.59647
ENST00000394419	B/LB	0.59647
ENST00000394464	P/LP	0.46196
ENST00000394464	B/LB	1.0154
ENST00000394505	P/LP	0.94404
ENST00000394505	B/LB	0.84668
ENST00000394725	P/LP	0.27287
ENST00000394805	P/LP	0.83142
ENST00000394805	B/LB	0.749175
ENST00000394854	P/LP	0.40087
ENST00000394854	B/LB	0.76366
ENST00000394857	B/LB	1.1413
ENST00000394947	P/LP	0.5513
ENST00000394947	B/LB	0.76624
ENST00000394963	P/LP	0.53951
ENST00000394963	B/LB	0.89232
ENST00000394991	P/LP	0.82544
ENST00000394991	B/LB	0.82544
ENST00000395153	B/LB	1.0993
ENST00000395366	P/LP	0.11957
ENST00000395422	P/LP	0.87535
ENST00000395422	B/LB	0.87535
ENST00000395443	P/LP	0.60415
ENST00000395443	B/LB	0.94824
ENST00000395715	P/LP	0.42916
ENST00000395715	B/LB	0.95058
ENST00000395749	P/LP	0.28198
ENST00000395749	B/LB	1.0546
ENST00000395799	B/LB	1.0034
ENST00000395925	P/LP	0.40412
ENST00000395925	B/LB	1.1266
ENST00000396138	P/LP	0.89787
ENST00000396138	B/LB	0.89787
ENST00000396191	B/LB	0.98819
ENST00000396654	B/LB	0.83791
ENST00000396668	P/LP	0.95038
ENST00000396668	B/LB	0.95038
ENST00000396684	P/LP	0.041714
ENST00000396684	B/LB	1.0823
ENST00000396884	P/LP	0.34455
ENST00000396884	B/LB	0.70743
ENST00000397060	B/LB	1.0489
ENST00000397062	P/LP	0.6044
ENST00000397062	B/LB	0.9568
ENST00000397066	P/LP	0.98088
ENST00000397066	B/LB	0.98088
ENST00000397195	P/LP	0.50193
ENST00000397195	B/LB	0.50193
ENST00000397356	B/LB	1.1393
ENST00000397641	P/LP	0.21151
ENST00000397641	B/LB	0.6773
ENST00000397786	P/LP	0.55548
ENST00000397786	B/LB	0.96242
ENST00000397799	B/LB	0.92898
ENST00000398215	P/LP	0.73743
ENST00000398238	P/LP	0.65122
ENST00000398238	B/LB	0.35015
ENST00000398868	B/LB	0.93852
ENST00000399050	P/LP	0.6302
ENST00000399050	B/LB	0.90881
ENST00000399410	B/LB	0.88234
ENST00000399503	P/LP	0.83523
ENST00000399503	B/LB	0.94863
ENST00000399655	P/LP	0.41454
ENST00000399655	B/LB	0.84192
ENST00000400181	P/LP	0.43036
ENST00000400181	B/LB	0.607935
ENST00000400324	B/LB	1.0059
ENST00000400345	P/LP	0.53781
ENST00000400345	B/LB	0.79035
ENST00000400908	P/LP	0.16093
ENST00000400908	B/LB	1.0877
ENST00000402142	B/LB	0.79378
ENST00000402198	P/LP	0.41163
ENST00000402198	B/LB	0.99335
ENST00000402219	P/LP	0.95389
ENST00000402219	B/LB	0.94842
ENST00000402280	P/LP	0.88381
ENST00000402280	B/LB	0.88381
ENST00000403359	P/LP	0.45032
ENST00000403359	B/LB	1.1842
ENST00000403491	P/LP	0.32747
ENST00000403491	B/LB	0.68014
ENST00000403681	B/LB	0.7997
ENST00000403888	P/LP	0.32998
ENST00000403888	B/LB	0.91064
ENST00000403994	P/LP	0.31133
ENST00000403994	B/LB	0.489795
ENST00000405440	P/LP	0.40608
ENST00000405440	B/LB	0.9657
ENST00000406246	P/LP	0.58198
ENST00000406246	B/LB	0.761955
ENST00000407818	P/LP	0.44643
ENST00000407818	B/LB	0.72344
ENST00000407847	B/LB	1.1252
ENST00000407977	B/LB	0.76793
ENST00000407991	B/LB	0.91133
ENST00000409735	B/LB	0.9018
ENST00000409792	P/LP	0.45371
ENST00000409792	B/LB	1.0324
ENST00000413687	B/LB	1.0236
ENST00000414423	P/LP	0.52171
ENST00000414423	B/LB	0.52171
ENST00000416167	P/LP	0.37872
ENST00000416167	B/LB	0.9212
ENST00000417098	P/LP	0.22634
ENST00000417098	B/LB	0.65307
ENST00000417257	P/LP	0.66101
ENST00000417257	B/LB	0.66101
ENST00000417996	P/LP	1.009
ENST00000417996	B/LB	1.009
ENST00000418929	P/LP	0.94701
ENST00000418929	B/LB	1.1501
ENST00000420124	P/LP	0.23454
ENST00000420124	B/LB	1.0737
ENST00000420175	B/LB	1.0201
ENST00000420696	P/LP	0.13814
ENST00000420696	B/LB	0.70534
ENST00000422670	P/LP	0.88415
ENST00000422670	B/LB	0.88415
ENST00000422982	P/LP	1.0065
ENST00000422982	B/LB	1.0065
ENST00000423381	P/LP	0.42527
ENST00000423381	B/LB	0.75858
ENST00000423902	P/LP	0.633785
ENST00000423902	B/LB	0.95842
ENST00000423955	P/LP	1.056
ENST00000423968	P/LP	0.58555
ENST00000424526	P/LP	0.795705
ENST00000424526	B/LB	0.76612
ENST00000424869	P/LP	0.87785
ENST00000424869	B/LB	0.92315
ENST00000425528	P/LP	0.38048
ENST00000425528	B/LB	0.38447
ENST00000425538	B/LB	0.94368
ENST00000426105	P/LP	0.56327
ENST00000426105	B/LB	0.70788
ENST00000426151	B/LB	0.94784
ENST00000426333	P/LP	0.510675
ENST00000426333	B/LB	0.60789
ENST00000427177	P/LP	0.96317
ENST00000427177	B/LB	0.96317
ENST00000427738	P/LP	0.38416
ENST00000427738	B/LB	0.86265
ENST00000428670	P/LP	0.49095
ENST00000428670	B/LB	0.764535
ENST00000429538	P/LP	0.56574
ENST00000429538	B/LB	1.0858
ENST00000432226	P/LP	0.87464
ENST00000432226	B/LB	0.87464
ENST00000432791	P/LP	0.84467
ENST00000432791	B/LB	0.84467
ENST00000433211	B/LB	1.0929
ENST00000434127	B/LB	1.0359
ENST00000434704	P/LP	0.28389
ENST00000434704	B/LB	0.82548
ENST00000434821	P/LP	0.52729
ENST00000434821	B/LB	0.86208
ENST00000435030	P/LP	0.46921
ENST00000435030	B/LB	0.7716
ENST00000435504	P/LP	0.72663
ENST00000435504	B/LB	0.99747
ENST00000436088	P/LP	0.54479
ENST00000436088	B/LB	0.83435
ENST00000436367	B/LB	0.91321
ENST00000439151	P/LP	0.25802
ENST00000439151	B/LB	1.0233
ENST00000440232	P/LP	0.71815
ENST00000440232	B/LB	0.71815
ENST00000440480	P/LP	0.98101
ENST00000440480	B/LB	0.98101
ENST00000441788	P/LP	0.572
ENST00000441788	B/LB	0.69408
ENST00000442011	P/LP	0.9567
ENST00000442011	B/LB	0.9567
ENST00000444659	B/LB	0.96512
ENST00000445061	P/LP	0.24327
ENST00000445061	B/LB	0.59757
ENST00000445105	P/LP	0.80364
ENST00000445105	B/LB	0.80364
ENST00000446050	P/LP	0.95992
ENST00000446050	B/LB	0.95992
ENST00000447393	P/LP	0.81283
ENST00000447393	B/LB	0.81283
ENST00000448097	P/LP	0.25816
ENST00000448097	B/LB	1.0811
ENST00000449058	B/LB	0.89602
ENST00000449082	B/LB	1.037
ENST00000450142	P/LP	0.56467
ENST00000450142	B/LB	0.86908
ENST00000450525	P/LP	0.24861
ENST00000450525	B/LB	0.66435
ENST00000450735	B/LB	1.0185
ENST00000451604	P/LP	0.28429
ENST00000451604	B/LB	0.7019
ENST00000452070	P/LP	0.9249
ENST00000452070	B/LB	0.9249
ENST00000454136	B/LB	0.77788
ENST00000454349	B/LB	0.91245
ENST00000454355	B/LB	0.98567
ENST00000455537	P/LP	0.41315
ENST00000455537	B/LB	0.72886
ENST00000456015	B/LB	0.97131
ENST00000456197	P/LP	0.1303
ENST00000456197	B/LB	0.77429
ENST00000457714	B/LB	0.74473
ENST00000457734	P/LP	0.85486
ENST00000457734	B/LB	0.85486
ENST00000457928	P/LP	0.40408
ENST00000457928	B/LB	0.40408
ENST00000460680	P/LP	0.49565
ENST00000460680	B/LB	0.89217
ENST00000460843	P/LP	0.57414
ENST00000460843	B/LB	1.2035
ENST00000461745	B/LB	0.82781
ENST00000464942	B/LB	1.1035
ENST00000467773	P/LP	1.0168
ENST00000467773	B/LB	1.0168
ENST00000475243	P/LP	0.66615
ENST00000475243	B/LB	1.0406
ENST00000477616	P/LP	0.53488
ENST00000477616	B/LB	1.1149
ENST00000481195	P/LP	0.13858
ENST00000481195	B/LB	0.36044
ENST00000484558	P/LP	1.0311
ENST00000484558	B/LB	1.0311
ENST00000485511	P/LP	0.46169
ENST00000485511	B/LB	0.603565
ENST00000503393	P/LP	1.0325
ENST00000503393	B/LB	1.0325
ENST00000504102	P/LP	0.15842
ENST00000504102	B/LB	0.4753
ENST00000504921	P/LP	0.14613
ENST00000504921	B/LB	0.54687
ENST00000505667	B/LB	0.98897
ENST00000508803	P/LP	0.28615
ENST00000508803	B/LB	0.89555
ENST00000510168	P/LP	0.67499
ENST00000510168	B/LB	0.67499
ENST00000517309	P/LP	0.63333
ENST00000517309	B/LB	0.63333
ENST00000517395	P/LP	0.41819
ENST00000520262	P/LP	0.60351
ENST00000520262	B/LB	0.729135
ENST00000521374	P/LP	0.93692
ENST00000521374	B/LB	0.93692
ENST00000521978	B/LB	1.03395
ENST00000526683	P/LP	0.20218
ENST00000526683	B/LB	1.023035
ENST00000527636	B/LB	0.99655
ENST00000528416	P/LP	0.21457
ENST00000528416	B/LB	0.82807
ENST00000529681	B/LB	0.87749
ENST00000529694	P/LP	0.78691
ENST00000529694	B/LB	0.829715
ENST00000531380	P/LP	0.90131
ENST00000531380	B/LB	1.0317
ENST00000531738	P/LP	0.92609
ENST00000531738	B/LB	0.92609
ENST00000532059	P/LP	0.33527
ENST00000532059	B/LB	1.133
ENST00000534358	P/LP	0.28744
ENST00000534358	B/LB	0.81113
ENST00000534980	P/LP	0.3314
ENST00000534980	B/LB	0.92301
ENST00000536005	B/LB	0.95978
ENST00000536300	B/LB	1.0175
ENST00000537384	P/LP	0.92022
ENST00000537384	B/LB	1.2161
ENST00000539276	P/LP	0.39552
ENST00000539276	B/LB	0.54686
ENST00000539935	P/LP	0.63385
ENST00000539935	B/LB	0.63385
ENST00000543185	P/LP	0.16755
ENST00000543185	B/LB	0.87823
ENST00000544040	P/LP	0.17691
ENST00000544040	B/LB	0.94801
ENST00000544301	B/LB	0.90065
ENST00000545234	P/LP	0.9245
ENST00000545234	B/LB	0.9245
ENST00000547270	B/LB	0.91973
ENST00000549446	P/LP	0.28228
ENST00000549446	B/LB	0.51559
ENST00000549920	B/LB	0.66811
ENST00000550164	P/LP	0.36977
ENST00000550164	B/LB	0.88561
ENST00000551956	B/LB	1.0082
ENST00000553532	B/LB	0.95346
ENST00000555002	P/LP	1.0274
ENST00000555002	B/LB	1.0237
ENST00000557942	B/LB	0.94678
ENST00000558012	P/LP	1.0819
ENST00000558012	B/LB	1.0819
ENST00000561208	P/LP	0
ENST00000561208	B/LB	0.92119
ENST00000564288	P/LP	0.44669
ENST00000564288	B/LB	0.86748
ENST00000565488	P/LP	0.9619
ENST00000565488	B/LB	0.9619
ENST00000568943	B/LB	0.7439
ENST00000572914	B/LB	0.85651
ENST00000576742	P/LP	1.0232
ENST00000576742	B/LB	1.0232
ENST00000579774	P/LP	0.41347
ENST00000579849	B/LB	0.83389
ENST00000580059	P/LP	0.39496
ENST00000580059	B/LB	1.0786
ENST00000580243	B/LB	0.94515
ENST00000581492	P/LP	0.94008
ENST00000581492	B/LB	0.94008
ENST00000586582	P/LP	0.9552
ENST00000586582	B/LB	0.9552
ENST00000587708	B/LB	0.93128
ENST00000588735	P/LP	0.81257
ENST00000588735	B/LB	0.81257
ENST00000590592	P/LP	1.0455
ENST00000590592	B/LB	1.0455
ENST00000592199	P/LP	0.052227
ENST00000592199	B/LB	0.44303
ENST00000598293	P/LP	0.928725
ENST00000598293	B/LB	0.928725
ENST00000598742	P/LP	0.57609
ENST00000598742	B/LB	0.57609
ENST00000600659	P/LP	0.76989
ENST00000604567	P/LP	0.334595
ENST00000604567	B/LB	0.98651
ENST00000609686	P/LP	0.17979
ENST00000609686	B/LB	0.9447
ENST00000609713	P/LP	0.41036
ENST00000609713	B/LB	0.92836
ENST00000610343	B/LB	0.807
ENST00000610761	P/LP	0.47261
ENST00000610761	B/LB	0.8805
ENST00000611875	P/LP	0.90073
ENST00000611875	B/LB	0.90073
ENST00000612899	P/LP	0.787005
ENST00000612899	B/LB	0.89231
ENST00000614616	P/LP	0.64247
ENST00000614616	B/LB	0.846515
ENST00000614907	B/LB	1.2203
ENST00000616140	B/LB	1.0005
ENST00000618562	B/LB	0.92187
ENST00000620103	B/LB	1.1051
ENST00000620225	P/LP	0.86174
ENST00000620225	B/LB	0.96407
ENST00000620254	P/LP	0.38843
ENST00000620254	B/LB	0.58437
ENST00000621198	B/LB	1.0183
ENST00000621696	P/LP	0.52286
ENST00000621696	B/LB	1.1909
ENST00000622633	P/LP	0.96543
ENST00000622633	B/LB	0.96543
ENST00000627217	P/LP	0.26701
ENST00000627217	B/LB	1.2629
ENST00000627532	P/LP	0.1454
ENST00000627532	B/LB	0.75214
ENST00000627620	P/LP	0.21248
ENST00000627620	B/LB	0.68562
ENST00000629816	B/LB	1.2221
ENST00000633063	P/LP	0.84047
ENST00000633063	B/LB	0.84047
ENST00000633077	P/LP	0.27317
ENST00000636930	P/LP	0.68627
ENST00000636930	B/LB	1.0641
ENST00000637181	P/LP	0.82615
ENST00000637181	B/LB	0.62788
ENST00000639213	P/LP	0.26768
ENST00000639213	B/LB	1.0105
ENST00000640218	P/LP	0.377465
ENST00000640218	B/LB	0.99537
ENST00000640368	P/LP	0.53186
ENST00000640368	B/LB	0.77629
ENST00000640961	B/LB	1.0085
ENST00000641151	B/LB	0.86383
ENST00000642384	P/LP	0.74606
ENST00000642384	B/LB	0.8911
ENST00000642680	P/LP	0.92957
ENST00000642680	B/LB	0.92957
ENST00000642900	B/LB	1.0314
ENST00000643257	P/LP	0.42518
ENST00000643257	B/LB	0.96069
ENST00000643471	P/LP	1.0392
ENST00000643471	B/LB	1.0392
ENST00000643721	B/LB	0.88654
ENST00000644486	B/LB	0.89597
ENST00000644715	B/LB	1.0193
ENST00000644743	P/LP	0.28241
ENST00000644743	B/LB	0.69834
ENST00000644978	P/LP	0.46564
ENST00000644978	B/LB	1.0267
ENST00000645220	B/LB	1.0972
ENST00000645482	P/LP	0.52646
ENST00000645674	P/LP	0.43166
ENST00000645694	P/LP	0.92476
ENST00000645694	B/LB	0.92476
ENST00000645831	P/LP	0.39684
ENST00000645831	B/LB	0.39684
ENST00000646449	P/LP	0.39957
ENST00000646630	P/LP	0.44684
ENST00000646630	B/LB	0.61339
ENST00000646647	P/LP	0.42391
ENST00000646647	B/LB	0.85517
ENST00000646664	P/LP	0.11094
ENST00000646667	P/LP	0.49942
ENST00000646667	B/LB	0.9003
ENST00000646991	P/LP	1.0648
ENST00000646991	B/LB	1.0648
ENST00000647188	P/LP	0.39834
ENST00000647188	B/LB	0.92207
ENST00000647248	P/LP	0.65608
ENST00000647248	B/LB	0.65608
ENST00000647337	P/LP	0.55607
ENST00000647337	B/LB	1.0566
ENST00000647395	P/LP	0.85382
ENST00000647395	B/LB	0.85382
ENST00000647738	P/LP	0.45588
ENST00000647738	B/LB	0.82649
ENST00000647800	B/LB	0.89982
ENST00000647956	P/LP	0.68578
ENST00000647956	B/LB	0.68578
ENST00000648180	P/LP	0.88908
ENST00000648180	B/LB	0.88908
ENST00000648268	P/LP	0.28466
ENST00000648268	B/LB	0.68678
ENST00000648319	P/LP	0.59344
ENST00000648319	B/LB	0.93396
ENST00000648336	P/LP	0.24467
ENST00000648336	B/LB	0.62033
ENST00000648437	P/LP	0.61651
ENST00000648437	B/LB	0.61651
ENST00000648509	P/LP	0.97041
ENST00000648509	B/LB	0.97041
ENST00000648839	B/LB	0.55357
ENST00000648936	P/LP	0.85309
ENST00000648936	B/LB	0.85309
ENST00000649031	B/LB	1.0441
ENST00000649279	P/LP	0.26506
ENST00000649279	B/LB	1.0717
ENST00000649528	P/LP	0.70687
ENST00000649528	B/LB	0.77611
ENST00000649796	P/LP	0.51308
ENST00000649796	B/LB	1.0902
ENST00000649859	P/LP	0.50099
ENST00000649859	B/LB	1.2719
