gene	gene_id	transcript	transcript_mis_oe	transcript_cds_length	n_mcrs	min_mcr_mis_oe	min_mcr_oe_cds_length	loeuf	loeuf_decile	genebayes_shet_decile	roulette_shet_decile	omim_disease_inheritance	ddg2p_monoallelic_strong_def
PLXNB1	ENSG00000164050	ENST00000296440	0.82608	6405	7	0.5094842452	302	0.4935559686	2	7	7	No OMIM disease association	FALSE
SHISA5	ENSG00000164054	ENST00000296444	0.93381	720	1	0.9338012252	NA	0.9628695287	6	4	2	No OMIM disease association	FALSE
BSN	ENSG00000164061	ENST00000296452	0.88199	11778	3	0.1658191466	46	0.1888327517	1	9	9	No OMIM disease association	FALSE
APEH	ENSG00000164062	ENST00000296456	0.91688	2196	1	0.9168853521	NA	0.7545337402	4	5	5	No OMIM disease association	FALSE
HSPA4L	ENSG00000164070	ENST00000296464	0.89618	2517	1	0.8961806117	NA	0.6597672509	3	6	6	No OMIM disease association	FALSE
MON1A	ENSG00000164077	ENST00000296473	0.80958	1665	1	0.8095833608	NA	0.880662031	5	5	3	No OMIM disease association	FALSE
MST1R	ENSG00000164078	ENST00000296474	0.9146	4200	1	0.9145745028	NA	0.9364655802	6	1	2	Autosomal dominant only	FALSE
POC1A	ENSG00000164087	ENST00000296484	0.88206	1221	1	0.8820578827	NA	0.8698382628	5	6	5	Autosomal recessive only	FALSE
ETNPPL	ENSG00000164089	ENST00000296486	0.86858	1497	1	0.8685781967	NA	0.8526157291	5	6	6	No OMIM disease association	FALSE
WDR82	ENSG00000164091	ENST00000296490	0.46191	939	3	0.2421307506	256	0.3862948755	2	10	9	No OMIM disease association	FALSE
PRSS12	ENSG00000164099	ENST00000296498	1.0016	2625	1	1.001580056	NA	1.002878889	6	2	1	Autosomal recessive only	FALSE
NDST3	ENSG00000164100	ENST00000296499	0.76191	2619	3	0.6912799966	1775	0.8499221078	5	7	7	No OMIM disease association	FALSE
HMGB2	ENSG00000164104	ENST00000296503	0.69394	627	3	0.4163036112	257	0.3965300934	2	10	10	No OMIM disease association	FALSE
SAP30	ENSG00000164105	ENST00000296504	0.87979	660	1	0.8797754348	NA	1.114209691	7	8	7	No OMIM disease association	FALSE
SCRG1	ENSG00000164106	ENST00000296506	0.93883	294	1	0.9388068618	NA	1.048166169	7	5	6	No OMIM disease association	FALSE
MAD2L1	ENSG00000164109	ENST00000296509	0.73057	615	1	0.7305787807	NA	0.8390975398	5	7	7	No OMIM disease association	FALSE
ANXA5	ENSG00000164111	ENST00000296511	0.94744	960	1	0.9474522293	NA	1.142473646	7	3	2	Autosomal dominant only	FALSE
ADAD1	ENSG00000164113	ENST00000296513	0.90501	1728	1	0.9050105609	NA	0.9446889776	6	7	4	No OMIM disease association	FALSE
HPGD	ENSG00000164120	ENST00000296522	1.0557	798	1	1.055703906	NA	1.251131589	8	2	3	Autosomal recessive only	FALSE
ASB5	ENSG00000164122	ENST00000296525	1.0055	987	1	1.005527902	NA	1.330483667	8	2	2	No OMIM disease association	FALSE
TMEM144	ENSG00000164124	ENST00000296529	1.0125	1035	1	1.012479969	NA	1.207697967	8	1	1	No OMIM disease association	FALSE
NPY1R	ENSG00000164128	ENST00000296533	0.76427	1152	1	0.7642588872	NA	0.8406965552	5	8	7	No OMIM disease association	FALSE
NAA15	ENSG00000164134	ENST00000296543	0.65507	2598	6	0.1101382235	47	0.4364295839	2	9	9	Autosomal dominant only	TRUE
DCLK2	ENSG00000170390	ENST00000296550	0.89551	2298	3	0.5723412751	371	0.5084855631	2	9	8	No OMIM disease association	FALSE
ICE1	ENSG00000164151	ENST00000296564	1.0045	6798	2	0.8156062196	1021	0.3691954307	2	9	10	No OMIM disease association	FALSE
HHIP	ENSG00000164161	ENST00000296575	0.9326	2100	3	0.5511750746	315	0.2168946104	1	8	9	No OMIM disease association	FALSE
ABCE1	ENSG00000164163	ENST00000296577	0.45716	1797	1	0.4571586895	NA	0.4664775486	2	10	8	No OMIM disease association	FALSE
LSM6	ENSG00000164167	ENST00000296581	0.60158	240	3	0.1929703653	93	0.4707678599	2	10	10	No OMIM disease association	FALSE
TMEM184C	ENSG00000164168	ENST00000296582	0.64388	1314	1	0.6438840624	NA	0.6855279422	4	7	7	No OMIM disease association	FALSE
ITGA2	ENSG00000164171	ENST00000296585	0.91322	3543	3	0.3608805485	82	0.7881453323	4	6	4	No OMIM disease association	FALSE
SLC45A2	ENSG00000164175	ENST00000296589	1.0715	1590	1	1.071471149	NA	1.086682485	7	1	3	Autosomal recessive only	FALSE
EDIL3	ENSG00000164176	ENST00000296591	0.89892	1440	2	0.5178257595	156	0.7937536659	4	8	6	No OMIM disease association	FALSE
TMEM161B	ENSG00000164180	ENST00000296595	0.81643	1461	3	0.1994813485	63	0.8542644569	5	7	6	No OMIM disease association	FALSE
NDUFAF2	ENSG00000164182	ENST00000296597	0.83008	507	2	0.6184066933	290	1.054108494	7	2	1	Autosomal recessive only	FALSE
LMBRD2	ENSG00000164187	ENST00000296603	0.76934	2085	2	0.7109742058	1621	0.754514022	4	7	5	Autosomal dominant only	FALSE
RANBP3L	ENSG00000164188	ENST00000296604	0.92632	1395	1	0.926323653	NA	1.04820923	7	2	2	No OMIM disease association	FALSE
STARD4	ENSG00000164211	ENST00000296632	0.9545	615	1	0.9545199326	NA	1.596391125	9	3	1	No OMIM disease association	FALSE
F2RL2	ENSG00000164220	ENST00000296641	0.90813	1122	1	0.9081398713	NA	2.044256279	10	2	3	No OMIM disease association	FALSE
ANKRD33B	ENSG00000164236	ENST00000296657	0.93417	1482	3	0.271728582	48	0.3631280303	2	8	NA	No OMIM disease association	FALSE
CMBL	ENSG00000164237	ENST00000296658	1.0385	735	1	1.038525963	NA	0.8793879733	5	1	3	No OMIM disease association	FALSE
C5orf63	ENSG00000164241	ENST00000296662	0.92429	345	1	0.9242578523	NA	2.135697819	10	3	NA	No OMIM disease association	FALSE
PRRC1	ENSG00000164244	ENST00000296666	1.0451	1335	1	1.045086452	NA	1.518625362	9	5	1	No OMIM disease association	FALSE
F2RL1	ENSG00000164251	ENST00000296677	0.9042	1191	1	0.9042007661	NA	3.602374302	10	5	4	No OMIM disease association	FALSE
WDR41	ENSG00000164253	ENST00000296679	1.016	1377	1	1.015959736	NA	1.193097566	8	2	4	No OMIM disease association	FALSE
PRDM9	ENSG00000164256	ENST00000296682	0.83345	2682	4	0.4953160332	568	1.116593982	7	5	2	No OMIM disease association	FALSE
NDUFS4	ENSG00000164258	ENST00000296684	1.0726	525	1	1.072579482	NA	1.688590799	9	5	5	Autosomal recessive only	FALSE
SCGB3A2	ENSG00000164265	ENST00000296694	1.0519	279	1	1.051818971	NA	1.645773131	9	3	1	Autosomal dominant only	FALSE
SPINK1	ENSG00000164266	ENST00000296695	0.94895	237	1	0.9489507624	NA	1.262265618	8	3	10	Other inheritance type	FALSE
AFAP1L1	ENSG00000157510	ENST00000296721	0.89586	2304	1	0.8958667737	NA	0.9088749924	5	4	3	No OMIM disease association	FALSE
TIGD6	ENSG00000164296	ENST00000296736	0.94766	1563	1	0.9476655261	NA	4.350240478	10	3	3	No OMIM disease association	FALSE
ENPP6	ENSG00000164303	ENST00000296741	0.97382	1320	2	0.3405663131	58	0.9166835729	5	3	5	No OMIM disease association	FALSE
MAP1B	ENSG00000131711	ENST00000296755	0.84366	7404	4	0.1626545218	61	0.09611022559	1	10	10	Autosomal dominant only	FALSE
TMEM174	ENSG00000164325	ENST00000296776	1.0574	729	1	1.057381909	NA	1.11208761	7	5	4	No OMIM disease association	FALSE
CARTPT	ENSG00000164326	ENST00000296777	0.95057	348	1	0.9505703422	NA	0.8849787093	5	6	8	Other inheritance type	FALSE
ANKRA2	ENSG00000164331	ENST00000296785	0.87246	939	3	0.2228064703	60	1.38590473	9	5	3	No OMIM disease association	FALSE
UBLCP1	ENSG00000164332	ENST00000296786	0.74507	954	1	0.745072905	NA	0.9688123744	6	8	8	No OMIM disease association	FALSE
UTP15	ENSG00000164338	ENST00000296792	0.80099	1554	1	0.8009988163	NA	0.1761396957	1	9	10	No OMIM disease association	FALSE
TLR3	ENSG00000164342	ENST00000296795	0.94005	2712	3	0.1802126509	43	0.8167519437	5	5	6	Other inheritance type	FALSE
GFM2	ENSG00000164347	ENST00000296805	0.89277	2337	1	0.8927701847	NA	1.006825257	6	4	3	Autosomal recessive only	FALSE
CCDC127	ENSG00000164366	ENST00000296824	0.83916	780	2	0.1152604887	126	1.015158288	6	6	3	No OMIM disease association	FALSE
NKD2	ENSG00000145506	ENST00000296849	1.0764	1353	1	1.076417682	NA	1.112379838	7	3	2	No OMIM disease association	FALSE
TNFRSF21	ENSG00000146072	ENST00000296861	0.86553	1965	1	0.8655314151	NA	0.6815712977	4	9	8	No OMIM disease association	FALSE
IL3	ENSG00000164399	ENST00000296870	0.84281	456	1	0.8428281567	NA	1.410377776	9	2	1	No OMIM disease association	FALSE
CSF2	ENSG00000164400	ENST00000296871	0.78473	432	1	0.7847284061	NA	0.474411575	2	7	10	No OMIM disease association	FALSE
LEAP2	ENSG00000164406	ENST00000296877	1.0423	231	1	1.042287076	NA	3.072212142	10	3	1	No OMIM disease association	FALSE
TLX3	ENSG00000164438	ENST00000296921	0.89575	873	3	0.5339105339	288	0.6789162674	4	9	6	No OMIM disease association	FALSE
NPM1	ENSG00000181163	ENST00000296930	0.56644	882	5	0.09327053118	55	0.1186624569	1	10	10	Other inheritance type	TRUE
CREBRF	ENSG00000164463	ENST00000296953	0.71282	1917	5	0	59	0.1556108204	1	10	10	No OMIM disease association	FALSE
TMEM200A	ENSG00000164484	ENST00000296978	0.887	1473	1	0.8870009602	NA	2.602779949	10	8	9	No OMIM disease association	FALSE
IL22RA2	ENSG00000164485	ENST00000296980	1.0072	789	1	1.007258658	NA	1.677437507	9	1	1	No OMIM disease association	FALSE
SPATA48	ENSG00000164500	ENST00000297001	0.97541	1314	1	0.9754053076	NA	1.234701663	8	1	NA	No OMIM disease association	FALSE
SCIN	ENSG00000006747	ENST00000297029	1.2583	2145	1	1.258305744	NA	0.8493652822	5	1	1	No OMIM disease association	FALSE
DAGLB	ENSG00000164535	ENST00000297056	1.2035	2016	1	1.203512222	NA	0.8449575319	5	3	4	No OMIM disease association	FALSE
TRA2A	ENSG00000164548	ENST00000297071	0.82715	846	3	0.598719661	483	0.9759090035	6	8	8	No OMIM disease association	FALSE
GALNT10	ENSG00000164574	ENST00000297107	0.88824	1809	1	0.8882426967	NA	0.6969815777	4	6	6	No OMIM disease association	FALSE
SAP30L	ENSG00000164576	ENST00000297109	0.86605	549	2	0.725797844	446	0.9004331788	5	7	7	No OMIM disease association	FALSE
COG5	ENSG00000164597	ENST00000297135	1.0911	2487	1	1.09114119	NA	1.00043138	6	5	4	Autosomal recessive only	FALSE
NEUROD6	ENSG00000164600	ENST00000297142	0.79368	1011	3	0.4063026459	245	NA	NA	10	9	No OMIM disease association	FALSE
BMT2	ENSG00000164603	ENST00000297145	0.75586	1215	5	0.3035269835	75	0.6243099415	3	10	10	No OMIM disease association	FALSE
SLU7	ENSG00000164609	ENST00000297151	0.73845	1758	6	0.3295519361	214	0.8766439108	5	7	5	No OMIM disease association	FALSE
CAMLG	ENSG00000164615	ENST00000297156	0.98669	888	1	0.9866917596	NA	1.302322573	8	6	6	Autosomal recessive only	FALSE
RP9	ENSG00000164610	ENST00000297157	0.85872	663	2	0.5738227525	290	0.9957156137	6	6	6	Autosomal dominant only	FALSE
RELL2	ENSG00000164620	ENST00000297164	0.93086	909	1	0.930864446	NA	0.7476119438	4	6	6	No OMIM disease association	FALSE
HSPA9	ENSG00000113013	ENST00000297185	0.80905	2037	4	0.2422715379	48	0.4616352819	2	9	9	Other inheritance type	FALSE
TEX47	ENSG00000164645	ENST00000297203	1.0094	759	1	1.009427991	NA	NA	NA	2	5	No OMIM disease association	FALSE
STEAP1	ENSG00000164647	ENST00000297205	0.81313	1017	1	0.8131328628	NA	2.501017664	10	4	4	No OMIM disease association	FALSE
FABP5	ENSG00000164687	ENST00000297258	0.74625	405	1	0.7462686567	NA	0.7496853326	4	7	5	No OMIM disease association	FALSE
SHH	ENSG00000164690	ENST00000297261	0.75037	1386	4	0.2267480211	113	0.3223923482	1	10	10	Other inheritance type	TRUE
CHMP4C	ENSG00000164695	ENST00000297265	1.0356	699	1	1.035550336	NA	1.495879295	9	2	3	No OMIM disease association	FALSE
FNDC1	ENSG00000164694	ENST00000297267	1.0422	5682	1	1.0422626	NA	0.5350476755	3	6	6	No OMIM disease association	FALSE
COL1A2	ENSG00000164692	ENST00000297268	0.78895	4098	3	0.7143445662	2649	0.3586404953	1	10	9	Other inheritance type	FALSE
CASD1	ENSG00000127995	ENST00000297273	0.81585	2391	5	0.3079196945	77	0.5579261819	3	8	8	No OMIM disease association	FALSE
PGAM2	ENSG00000164708	ENST00000297283	0.97979	759	1	0.9797866367	NA	0.9732364697	6	4	4	Autosomal recessive only	FALSE
BRI3	ENSG00000164713	ENST00000297290	0.78296	375	1	0.7829846909	NA	0.9621256289	6	7	7	No OMIM disease association	FALSE
LMTK2	ENSG00000164715	ENST00000297293	0.88216	4509	7	0.2325942007	68	0.3356818851	1	9	9	No OMIM disease association	FALSE
SLC35G3	ENSG00000164729	ENST00000297307	0.88563	1014	1	0.8856292811	NA	1.293946092	8	4	1	No OMIM disease association	FALSE
RGS20	ENSG00000147509	ENST00000297313	0.93948	1164	3	0.5650059527	130	1.334311751	8	5	5	No OMIM disease association	FALSE
SOX17	ENSG00000164736	ENST00000297316	1.0383	1242	5	0.2968944837	34	0.4834020974	2	9	9	Autosomal dominant only	TRUE
ADCY1	ENSG00000164742	ENST00000297323	0.6812	3357	6	0.04763719512	47	0.2909487521	1	9	9	Autosomal recessive only	FALSE
SUN3	ENSG00000164744	ENST00000297325	0.9674	1071	1	0.9673993351	NA	1.058086305	7	1	2	No OMIM disease association	FALSE
RAD21	ENSG00000164754	ENST00000297338	0.641	1893	5	0.1874219075	351	0.4378644912	2	10	9	Other inheritance type	TRUE
MED30	ENSG00000164758	ENST00000297347	0.88968	534	1	0.8896875137	NA	0.8256253396	5	8	8	No OMIM disease association	FALSE
TNFRSF11B	ENSG00000164761	ENST00000297350	0.90596	1203	1	0.9059560489	NA	0.4942520255	2	7	8	Autosomal recessive only	FALSE
SBSPON	ENSG00000164764	ENST00000297354	1.0176	792	1	1.017584076	NA	1.225501391	8	3	3	No OMIM disease association	FALSE
PHKG1	ENSG00000164776	ENST00000297373	0.93747	1161	1	0.9374759375	NA	1.17763552	7	1	2	No OMIM disease association	FALSE
EN2	ENSG00000164778	ENST00000297375	1.0443	999	1	1.044303167	NA	0.5873427029	3	9	8	No OMIM disease association	FALSE
CSMD3	ENSG00000164796	ENST00000297405	0.9468	11121	3	0.7561385441	914	0.4871799185	2	8	7	No OMIM disease association	FALSE
SPIDR	ENSG00000164808	ENST00000297423	1.0385	2745	1	1.038516919	NA	1.092321194	7	2	3	Autosomal recessive only	FALSE
ORC5	ENSG00000164815	ENST00000297431	0.97366	1305	3	0.2415021433	43	0.7916072308	4	6	5	No OMIM disease association	FALSE
DEFA4	ENSG00000164821	ENST00000297435	1.7008	291	1	1.700787402	NA	3.225784378	10	1	8	No OMIM disease association	FALSE
DEFA6	ENSG00000164822	ENST00000297436	1.6041	300	1	1.604098429	NA	1.960777626	10	3	3	No OMIM disease association	FALSE
DNAAF5	ENSG00000164818	ENST00000297440	1.0768	2565	1	1.076792533	NA	0.7978851851	4	3	5	Autosomal recessive only	FALSE
TMEM74	ENSG00000164841	ENST00000297459	0.98961	915	1	0.9896249002	NA	NA	NA	5	4	No OMIM disease association	FALSE
TMEM184A	ENSG00000164855	ENST00000297477	1.0601	1239	1	1.060145221	NA	0.8846482565	5	1	2	No OMIM disease association	FALSE
NOS3	ENSG00000164867	ENST00000297494	0.88446	3609	5	0.3984989871	66	0.634169659	3	7	6	Other inheritance type	FALSE
SLC7A13	ENSG00000164893	ENST00000297524	1.1575	1410	1	1.157453967	NA	1.588474016	9	1	2	No OMIM disease association	FALSE
FASTK	ENSG00000164896	ENST00000297532	0.83359	1647	2	0.7773944906	1404	0.5275404379	3	8	8	No OMIM disease association	FALSE
TMUB1	ENSG00000164897	ENST00000297533	0.98578	738	1	0.9857717093	NA	0.5475374579	3	6	7	No OMIM disease association	FALSE
FMC1	ENSG00000164898	ENST00000297534	0.96219	339	1	0.9621721365	NA	2.030530337	10	4	1	No OMIM disease association	FALSE
GBX1	ENSG00000164900	ENST00000297537	0.97013	1089	3	0.2988643156	37	0.8527644666	5	9	8	No OMIM disease association	FALSE
PHAX	ENSG00000164902	ENST00000297540	0.95785	1182	1	0.9578584569	NA	1.094777741	7	6	6	No OMIM disease association	FALSE
OSR2	ENSG00000164920	ENST00000297565	0.75238	936	5	0.1623025319	39	0.4958031792	2	8	4	No OMIM disease association	FALSE
SLC25A32	ENSG00000164933	ENST00000297578	0.92848	945	1	0.9284792673	NA	1.028925688	6	3	3	Autosomal recessive only	FALSE
DCSTAMP	ENSG00000164935	ENST00000297581	0.95375	1410	1	0.9537494387	NA	0.9480557165	6	3	4	No OMIM disease association	FALSE
VIRMA	ENSG00000164944	ENST00000297591	0.81182	5436	11	0.03569134128	70	0.4693284529	2	9	8	No OMIM disease association	FALSE
GEM	ENSG00000164949	ENST00000297596	0.90651	888	1	0.9065068756	NA	1.355483164	8	4	3	No OMIM disease association	FALSE
PDP1	ENSG00000164951	ENST00000297598	0.83021	1611	5	0.1748455531	43	NA	NA	8	8	Autosomal recessive only	FALSE
C9orf24	ENSG00000164972	ENST00000297623	1.0047	786	1	1.004721327	NA	1.01018668	6	2	2	No OMIM disease association	FALSE
MYORG	ENSG00000164976	ENST00000297625	1.0814	2142	1	1.081344374	NA	NA	NA	5	4	Autosomal recessive only	FALSE
TMEM65	ENSG00000164983	ENST00000297632	0.84997	720	1	0.8499594485	NA	1.329419376	8	7	6	No OMIM disease association	FALSE
UBAP1	ENSG00000165006	ENST00000297661	0.80584	1506	3	0.2082713478	90	0.2570054829	1	9	10	Autosomal dominant only	FALSE
HSD3B7	ENSG00000099377	ENST00000297679	0.84406	1107	1	0.8440490579	NA	1.344654231	8	4	3	Autosomal recessive only	FALSE
NFIL3	ENSG00000165030	ENST00000297689	0.79625	1386	3	0.2945823626	187	13.30038401	10	9	9	No OMIM disease association	FALSE
ZMAT4	ENSG00000165061	ENST00000297737	0.84566	687	1	0.8456659619	NA	0.778670383	4	7	6	No OMIM disease association	FALSE
CPA6	ENSG00000165078	ENST00000297770	1.073	1311	1	1.07298175	NA	1.192701457	8	1	4	Other inheritance type	FALSE
TMC1	ENSG00000165091	ENST00000297784	0.89375	2280	1	0.8937557432	NA	1.00054873	6	5	2	Other inheritance type	FALSE
ALDH1A1	ENSG00000165092	ENST00000297785	0.85812	1503	1	0.8581216853	NA	0.4907696235	2	8	9	No OMIM disease association	FALSE
CCDC136	ENSG00000128596	ENST00000297788	0.87432	3462	1	0.8742931709	NA	0.7947879109	4	4	4	No OMIM disease association	FALSE
KIF27	ENSG00000165115	ENST00000297814	0.80202	4203	4	0.4808569202	164	1.018613463	6	3	2	No OMIM disease association	FALSE
SSMEM1	ENSG00000165120	ENST00000297819	0.88648	732	1	0.8864702057	NA	2.531636557	10	1	1	No OMIM disease association	FALSE
COL14A1	ENSG00000187955	ENST00000297848	0.8918	5388	3	0.2265518804	42	0.676770869	4	7	6	No OMIM disease association	FALSE
METTL27	ENSG00000165171	ENST00000297873	1.0515	735	1	1.051527953	NA	1.824516536	9	1	4	No OMIM disease association	FALSE
SYTL5	ENSG00000147041	ENST00000297875	1.1652	2190	1	1.165236797	NA	1.042053039	6	5	NA	No OMIM disease association	FALSE
VEGFD	ENSG00000165197	ENST00000297904	1.0754	1062	1	1.07538681	NA	1.06326305	7	4	NA	No OMIM disease association	FALSE
GAPVD1	ENSG00000165219	ENST00000297933	0.80474	4380	4	0	51	0.2917114627	1	10	10	No OMIM disease association	FALSE
AQP7	ENSG00000165269	ENST00000297988	0.90061	1026	1	0.9006055042	NA	1.288224098	8	4	1	Autosomal recessive only	FALSE
NOL6	ENSG00000165271	ENST00000297990	0.86785	3438	1	0.8678487789	NA	0.256395652	1	9	10	No OMIM disease association	FALSE
AQP3	ENSG00000165272	ENST00000297991	0.70689	876	3	0.5935546943	646	0.6240048511	3	7	7	Other inheritance type	FALSE
TRMT10B	ENSG00000165275	ENST00000297994	0.97881	948	1	0.978801644	NA	1.105644139	7	1	5	No OMIM disease association	FALSE
ARMC3	ENSG00000165309	ENST00000298032	0.91868	2616	1	0.9186804756	NA	1.002036457	6	2	4	No OMIM disease association	FALSE
MELK	ENSG00000165304	ENST00000298048	0.96982	1953	1	0.96981234	NA	1.30927428	8	3	2	No OMIM disease association	FALSE
DEUP1	ENSG00000165325	ENST00000298050	0.97281	1812	1	0.9728111749	NA	1.203741833	8	1	3	No OMIM disease association	FALSE
HECTD2	ENSG00000165338	ENST00000298068	0.63579	2328	4	0.1474328259	73	0.4775484419	2	9	9	No OMIM disease association	FALSE
FBXO33	ENSG00000165355	ENST00000298097	0.97631	1665	3	0.7558517555	602	0.7018484411	4	10	10	No OMIM disease association	FALSE
LRFN5	ENSG00000165379	ENST00000298119	0.90077	2157	2	0.7677874883	1019	0.75844565	4	8	8	No OMIM disease association	FALSE
WDFY2	ENSG00000139668	ENST00000298125	0.86685	1200	1	0.8668488872	NA	0.8942588684	5	6	5	No OMIM disease association	FALSE
SPTSSA	ENSG00000165389	ENST00000298130	1.0663	213	1	1.066257224	NA	2.697962829	10	8	8	No OMIM disease association	FALSE
WRN	ENSG00000165392	ENST00000298139	0.97699	4296	3	0.4286051047	114	1.008253241	6	3	4	Autosomal recessive only	FALSE
CFL2	ENSG00000165410	ENST00000298159	0.65081	498	1	0.6508043942	NA	0.9363725195	6	7	3	Autosomal recessive only	FALSE
TSHR	ENSG00000165409	ENST00000298171	0.93022	2292	1	0.9302177579	NA	0.8611697601	5	5	4	Other inheritance type	TRUE
SSX7	ENSG00000187754	ENST00000298181	1.2125	564	1	1.212451468	NA	1.817737104	9	5	NA	No OMIM disease association	FALSE
PGM2L1	ENSG00000165434	ENST00000298198	0.76819	1866	1	0.7681940701	NA	0.6934240485	4	7	7	Autosomal recessive only	FALSE
FOLR2	ENSG00000165457	ENST00000298223	0.83385	765	1	0.833849969	NA	1.140724442	7	2	3	No OMIM disease association	FALSE
INPPL1	ENSG00000165458	ENST00000298229	0.84714	3774	5	0.2642406855	59	0.7078495724	4	8	7	Autosomal recessive only	FALSE
PHOX2A	ENSG00000165462	ENST00000298231	0.86064	852	1	0.8907926159	NA	1.340053954	8	8	NA	Autosomal recessive only	FALSE
CRYL1	ENSG00000165475	ENST00000298248	1.0075	957	1	1.007501103	NA	1.059607972	7	3	1	No OMIM disease association	FALSE
HEPACAM	ENSG00000165478	ENST00000298251	0.82774	1248	1	0.8277381079	NA	0.7411580831	4	8	4	Other inheritance type	FALSE
PCF11	ENSG00000165494	ENST00000298281	0.84344	4665	12	0.1100321844	83	0.4521143933	2	10	10	No OMIM disease association	FALSE
PKNOX2	ENSG00000165495	ENST00000298282	0.82289	1416	5	0.3229365699	96	0.3586365354	1	10	10	No OMIM disease association	FALSE
RPL10L	ENSG00000165496	ENST00000298283	1.1041	642	1	1.104095504	NA	1.963739075	10	5	5	Autosomal recessive only	FALSE
LRR1	ENSG00000165501	ENST00000298288	0.99547	1242	3	0.4034210102	100	1.386712489	9	2	4	No OMIM disease association	FALSE
RPL36AL	ENSG00000165502	ENST00000298289	0.59912	318	1	0.5991328341	NA	5.999150128	10	4	1	No OMIM disease association	FALSE
DNAAF2	ENSG00000165506	ENST00000298292	1.1119	2511	1	1.111907535	NA	1.248753182	8	3	2	Autosomal recessive only	FALSE
MAGEC3	ENSG00000165509	ENST00000298296	1.1602	1929	1	1.160145587	NA	NA	NA	3	NA	No OMIM disease association	FALSE
ZNF22	ENSG00000165512	ENST00000298299	0.98498	672	1	0.9849719355	NA	3.695511443	10	7	6	No OMIM disease association	FALSE
KLHDC2	ENSG00000165516	ENST00000298307	0.86819	1218	1	0.8681957681	NA	0.8731970654	5	7	6	No OMIM disease association	FALSE
NEMF	ENSG00000165525	ENST00000298310	0.89782	3228	3	0.3664840676	128	0.7768049521	4	8	7	Autosomal recessive only	FALSE
RPUSD4	ENSG00000165526	ENST00000298317	1.0456	1131	1	1.045554845	NA	1.251271465	8	1	5	No OMIM disease association	FALSE
TMEM63C	ENSG00000165548	ENST00000298351	0.78441	2418	1	0.7844254511	NA	0.3726405279	2	7	7	Autosomal recessive only	FALSE
NGB	ENSG00000165553	ENST00000298352	1.0173	453	1	1.017267463	NA	1.381932498	9	4	6	No OMIM disease association	FALSE
AKR1E2	ENSG00000165568	ENST00000298375	1.067	960	1	1.066942441	NA	1.251752511	8	1	2	No OMIM disease association	FALSE
RXFP2	ENSG00000133105	ENST00000298386	0.88494	2262	1	0.8849359512	NA	0.9333046327	6	4	3	No OMIM disease association	FALSE
SSX3	ENSG00000165584	ENST00000298396	1.0711	564	1	1.071100013	NA	1.131419473	7	8	NA	No OMIM disease association	FALSE
SEC61A2	ENSG00000065665	ENST00000298428	0.58034	1428	3	0.2908350602	143	0.5171832718	2	8	8	No OMIM disease association	FALSE
ABRAXAS2	ENSG00000165660	ENST00000298492	0.86548	1245	3	0.6711952127	607	0.7401581047	4	7	7	No OMIM disease association	FALSE
PRDX3	ENSG00000165672	ENST00000298510	1.0115	768	1	1.011497141	NA	0.9871771852	6	5	4	Other inheritance type	FALSE
CLEC1B	ENSG00000165682	ENST00000298527	1.0369	687	1	1.036947905	NA	1.368474659	8	3	1	No OMIM disease association	FALSE
FRMD7	ENSG00000165694	ENST00000298542	0.95917	2142	3	0.5001562988	204	0.7478589518	4	9	NA	Other inheritance type	TRUE
AK8	ENSG00000165695	ENST00000298545	0.90442	1437	1	0.9044243461	NA	0.8644077496	5	2	3	No OMIM disease association	FALSE
TSC1	ENSG00000165699	ENST00000298552	0.77599	3492	5	0.2252252252	73	0.2305002196	1	10	10	Other inheritance type	TRUE
HPRT1	ENSG00000165704	ENST00000298556	0.39624	654	4	0.1887006076	204	0.7582238048	4	10	NA	Other inheritance type	TRUE
KIAA1191	ENSG00000122203	ENST00000298569	0.82213	915	1	0.822122571	NA	0.9957601195	6	6	3	No OMIM disease association	FALSE
DUSP16	ENSG00000111266	ENST00000298573	0.88639	1995	1	0.8863927721	NA	0.8093237465	5	9	8	No OMIM disease association	FALSE
ZMYND19	ENSG00000165724	ENST00000298585	0.85137	681	2	0.507498965	167	0.4996890333	2	9	10	No OMIM disease association	FALSE
STOX1	ENSG00000165730	ENST00000298596	0.90423	2967	1	0.9042076992	NA	1.102427087	7	2	1	Autosomal dominant only	FALSE
STK32C	ENSG00000165752	ENST00000298630	0.80369	1458	3	0.5669690502	328	0.492363745	2	7	7	No OMIM disease association	FALSE
SLC39A2	ENSG00000165794	ENST00000298681	1.0119	927	1	1.011927249	NA	0.8915175874	5	1	1	No OMIM disease association	FALSE
ARHGEF40	ENSG00000165801	ENST00000298694	0.92223	4557	1	0.9222560976	NA	0.6161702717	3	7	6	No OMIM disease association	FALSE
C12orf50	ENSG00000165805	ENST00000298699	0.97232	1242	1	0.9723245722	NA	0.8214083181	5	4	4	No OMIM disease association	FALSE
PPP1R36	ENSG00000165807	ENST00000298705	0.88734	1266	1	0.8873494328	NA	1.214537688	8	1	1	No OMIM disease association	FALSE
METTL3	ENSG00000165819	ENST00000298717	0.60228	1740	9	0	33	0.8864518957	5	6	3	No OMIM disease association	FALSE
ERICH6B	ENSG00000165837	ENST00000298738	0.94716	2088	1	0.9471647866	NA	1.099731445	7	3	1	No OMIM disease association	FALSE
